initial_failures,mean_failure_rate,std_failure_rate
1,0.839167,0.257501
2,0.929500,0.016850
3,0.938167,0.025932
4,0.936000,0.024166
5,0.945000,0.030221
6,0.953500,0.032613
7,0.960500,0.032923
8,0.964000,0.031843
